key	rule	min_len	max_len	name	color
1	PF00512	30	3000	HisKA	#fff651
2	PF00512;PF02518	30	3000	LanK	#fff651
3	PF00072;PF00486	30	3000	LanR	#fff651
4	PF03412	30	3000	Protease	#d36dff
5	PF12679	30	3000	ABC	#ff3f3f
6	PF12730	30	3000	ABC	#ff3f3f
7	PF00005	30	3000	ABC	#ff3f3f
8	PF03412;PF00005	30	3000	LanT	pink
9	PF14028;PF04738	500	3000	LanB	#6ba3ff
10	PF00733	30	3000	LasC	#6ba3ff
11	PF13471	30	3000	LasB	#6ba3ff
12	PF05147	30	3000	LanM	#6ba3ff
13	PF05147	30	550	LanC	#6ba3ff
14	PF05147;lanl	30	3000	LanL	#6ba3ff
15	PF00082	30	3000	Protease	#d36dff
16	Sac_1	30	3000	SacCD	#6ba3ff
17	CyaG	30	3000	CyaG	#d36dff
18	LinL	30	3000	LinL	#6ba3ff
19	PF08951	30	3000	EntA_Immun	#ff3f3f
20	PF02794	30	3000	MicD	#6ba3ff
21	PF02624	30	3000	LapBotD	#6ba3ff
22	PF02441	30	3000	LanD	#6ba3ff
23	labKC	30	3000	LanKC	#6ba3ff
24	PF03857	30	3000	ColiIm	#ff3f3f
25	PF01320	30	3000	PyocinIm	#ff3f3f
26	PF00296	30	3000	LanO	#6ba3ff
27	PF13437	30	3000	HlyD	#ff3f3f
28	PF00881	30	3000	Cyclodehydration	#6ba3ff
30	PF01944	30	500	HttC_DUF95	#6ba3ff
31	httB	120	3000	HttB	#6ba3ff
32	PF04055	50	3000	BmbF	#6ba3ff
33	TIGR04195	50	3000	GlyS	#6ba3ff
